cpt,desc,status,work_rvu,pe_nonfac_rvu,pe_fac_rvu,mp_rvu
23520,Cltx strnclav dislc w/o mnpj,A,2.23,5.4,4.68,0.47
23525,Cltx strnclav dislc w/mnpj,A,3.7,8.87,6.5,0.79
23530,Optx strnclav dislc aqt/chrn,A,7.29,7.61,7.61,1.54
23532,Optx strclv dslc aq/chrn grf,A,8.0,8.18,8.18,1.7
23540,Cltx acromclav dislc wo mnpj,A,2.3,5.49,4.9,0.49
23545,Cltx acromclav dislc w/mnpj,A,3.34,10.86,8.59,0.83
23550,Optx acromclv dislc aqt/chrn,A,7.4,7.33,7.33,1.46
23552,Optx acrclv dslc aq/chrn grf,A,8.6,8.04,8.04,1.69
23570,Cltx scapular fx w/o mnpj,A,2.3,5.19,4.8,0.47
23575,Cltx scap fx w/mnpj +-tractj,A,4.12,8.74,6.35,0.88
23585,Optx scapular fx w/int fixj,A,13.87,10.12,10.12,2.82
23600,Cltx prox humrl fx w/o mnpj,A,2.93,7.87,6.4,0.61
23605,Cltx prx hmrl fx mnpj+-tract,A,4.93,10.0,7.19,1.08
23615,Optx prox humrl fx w/int fix,A,11.99,10.18,10.18,2.49
23616,Optx prx hmrl fx fix rpr rpl,A,17.91,11.97,11.97,3.7
23620,Cltx gr hmrl tbrs fx wo mnpj,A,2.49,6.28,5.14,0.5
23625,Cltx gr hmrl tbrs fx w/mnpj,A,4.0,8.54,6.42,0.88
23630,Optx gr hmrl tbrs fx int fix,A,10.31,9.56,9.56,2.11
23650,Cltx sho dslc w/mnpj wo anes,A,3.44,8.73,6.75,0.82
23655,Cltx sho dslc w/mnpj w/anes,A,4.64,6.88,6.88,1.02
23660,Optx acute shoulder dislc,A,7.47,7.55,7.55,1.48
23665,Cltx sho dslc fx gr hmrl tbr,A,4.54,9.38,6.93,1.0
23670,Optx sho dislc fx,A,11.97,9.99,9.99,2.52
23675,Cltx sho dislc neck fx mnpj,A,6.11,11.4,7.86,1.33
23680,Optx sho dislc neck fx fixj,A,12.82,10.35,10.35,2.73
23700,Mnpj anes sho jt fixj aprats,A,2.51,2.53,2.53,0.49
23800,Arthrodesis glenohumeral jt,A,14.36,10.93,10.93,3.05
23802,Arthrd glenohumeral jt w/grf,A,17.96,13.61,13.61,3.83
23900,Interthoracoscplr amputation,A,20.2,13.13,13.13,4.3
23920,Disarticulation shoulder,A,15.82,11.79,11.79,3.36
